id,name,rating,price level
ue2eENXy8s4Z9Cw8cYI1ag,ALPETRA,5.0,$$
uZLrwhCDu8kzv-r39IOa8w,Dirty Martin's Place,3.5,$$
uR44pe0NmXYJ1bvvO6kUHw,Joann’s Fine Foods,4.0, 
uQPhKtD68v5VXxuBplyKgg,Judy’s Mediterranean,4.5,$$
uPWJtYJi76EniU0xrX-zbA,Odd Duck,4.5,$$
uK3hclf6oje7rRAbUhPCLg,Sushi Junai,3.5, 
uGYPRlATniMBSp7r2wrRXg,Chapulín Cantina,4.0,$$$
uFiwHZsSeumU-Z6-OWh8vA,Next Level Burger Austin,4.0,$$
uBH8GHA6_RODaJGaOT-Cdw,Bouldin Acres,4.0,$$
u5kXPgXAumLOl6zMFw3D_g,Hillside Farmacy,3.5, 
u5XqU3ys3nXd1Ee0XYKLWg,Foreign & Domestic,4.0,$$
twAYWhiDLH1vU95QkwSVtg,Foxy's Proper Pub,4.0,$$
tmvswVDr4n56EjWq_RptBA,Gusto Italian Kitchen & Wine Bar,4.0,$$
tgjXDSQtQZsons4XlMR59A,Kura Revolving Sushi Bar,3.5, 
tc-miuh1kIkkdXizliGFuw,Kesos Tacos,4.0, 
taRtJ8b4eEBm5mdT09IqFA,De Nada Cantina,4.5,$$$
tZfQ_H2Gx96pLhMvNcUMOw,Artessano,4.5,$$
tUcTrbsYcvG3C8cHZ37oMQ,Bao’d Up - Mueller Aldrich,4.0,$$$
tPYv_5hqTtfOZRKhJSzeiw,Briscuits,4.5,$
tO3jMM7UApHkj6LtG0Rgng,Iron Cactus Mexican Restaurant and Margarita Bar,3.5,$$
tM1IgJCzeokdXrHWbX0K8Q,The Hideout Coffeehouse,4.0,$
tHGogN8RwYyDPyCOX5LIPA,Ramen Twist,5.0, 
tG7C9aZpYmj0-Z8hZC-0cg,SLAB BBQ & Beer,4.5, 
t5lJ7FXMJDyoBYWDCsqD_w,Yellow Jacket Social Club,4.0, 
t3xTfY5ABj6FJWtRYKtwpw,Espadas de Brazil,4.5,$$
suSjNVgdnOrjP-1eGHoXEw,Vaquero Taquero,4.0,$$
smUsLiLiMMVLrX4vLkpXoA,Gyro center,4.5,$$
skvuuJVurCYV6J9QcAC0SA,Il Brutto,4.0, 
sjtbU9h4T4Oc02BzCZ3U2Q,Halcyon,3.5,$$
sjgbSELDpzaabRe8bZwUbw,Micklethwait Craft Meats,4.5,$
shFV63u-qAkHNfz3ZG4sIw,Tumble 22,4.0,$$
sdoXMx2zQmzmuLsdNAte7A,Little House,4.5,$$
scOr6tgNJLaeTAIq3jGgNw,Toshokan,5.0, 
sOUbbSAwhfdZoGnSZqOlWw,P. Terry's Burger Stand,3.5,$$
sO5Xn2PGNiwBO4pqTJo6RQ,Lover Boy Pizza,5.0,$$$
sBouMzFxqlOTF55flxdHxw,Ladybird's Austin Kitchen,5.0, 
s72kClUZkOTFJkHVYXJkmw,Out of Nowhere ATX,5.0,$$
s4i6ymc-afjoMYn48K_uUA,Cafe Divine,4.5,$$
s20zYPhYIeqd07jECcJk9A,Baldinucci Pizza Romana,5.0,$$
s1BZDYxBS_rYOiIHAYHQhA,Tukka,4.5,$$
s-DXfNMT4ZDmbIZw518_Rg,Dos Amigos Mexican Food,4.5, 
rwm4sZS7IuCqhAq9qCBfag,Via 313 Pizza,4.5, 
rvM4hrCnaChlw97NRPbgLg,Cedar Door Patio Bar & Grill,3.5,$$
rn2Ka8dII-WH6hXG82F1GA,Quezzas,4.5,$$
rkvG3jFKNJqSwbfedohA_Q,Devil May Care,4.0,$$$
riZX-EMMAXwbQHi_vBZQCQ,My Thai Mom,4.0, 
raXi6598v97VVJGxuet_ZQ,Cucina On 35th,4.0,$$$
rY2VkMS4wWuJTrRsk32jhA,Roland's Soul Food And Fish,4.0,$$
rFSbSKU4nxVkX4wV_pbsCA,MOD Pizza,4.0, 
rFG5eziVKsonxHOrI_qVMA,crêpeful,5.0,$
