id,name,is closed,rating,review count,categories,address,coordinates,transaction types,price level,Categories_merged,Latitude,Longitude,Address_mod,Zipcode,Delivery,Pickup,Reservation,Rating_stndized,Review count_stndized
yh1B8RQquWU4D4fUGAeYuw,Tacodeli,False,4.0,207,Breakfast & Brunch,"['701 S Capital Of Texas Hwy', 'Ste e590', 'Austin, TX 78746']","{'latitude': 30.290453284106693, 'longitude': -97.82615867902156}",['delivery'],$$,American,30.290453284106693,-97.82615867902156,"'701 S Capital Of Texas Hwy', 'Ste e590', 'Austin, TX 78746'",78746,1,0,0,-0.216633048725356,-0.33782652271340907
yd6dmLkbX1Ycmy3VcDVzng,Cuba 512,False,4.0,546,Caribbean,"['6800 West Gate Blvd', 'Ste 112', 'Austin, TX 78745']","{'latitude': 30.209067, 'longitude': -97.816031}","['delivery', 'pickup']",$$,Mexican/South American,30.209067,-97.816031,"'6800 West Gate Blvd', 'Ste 112', 'Austin, TX 78745'",78745,1,1,0,-0.216633048725356,0.21950069411944909
yPpHMQ-QJxEEOor9C5Fl_A,Numero28,False,4.0,524,Italian,"['452 W 2nd St', 'Austin, TX 78701']","{'latitude': 30.2656718, 'longitude': -97.7484536}","['delivery', 'pickup']",$$,Pizza/European,30.2656718,-97.7484536,"'452 W 2nd St', 'Austin, TX 78701'",78701,1,1,0,-0.216633048725356,0.1833319661833934
yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase,False,4.5,230,Japanese,"['315 Congress Ave', 'Ste 100', 'Austin, TX 78701']","{'latitude': 30.265615, 'longitude': -97.743268}","['delivery', 'pickup', 'restaurant_reservation']",$$,Asian,30.265615,-97.743268,"'315 Congress Ave', 'Ste 100', 'Austin, TX 78701'",78701,1,1,1,0.8936113259920925,-0.30001376168935084
yHhws1HFk4rgX8YhY5-B9g,Taste of Ethiopia,False,4.5,342,Ethiopian,"['3801 S Congress Ave', 'Ste 107', 'Austin, TX 78704']","{'latitude': 30.2259650875173, 'longitude': -97.7619186684117}","['pickup', 'delivery']",$$,Middle-eastern/Indian/African,30.2259650875173,-97.7619186684117,"'3801 S Congress Ave', 'Ste 107', 'Austin, TX 78704'",78704,1,1,0,0.8936113259920925,-0.11588205583306731
yH33eQMUlxsM2GDHA7Gmmg,Café No Sé,False,4.0,577,Cafes,"['1603 S Congress Ave', 'Austin, TX 78704']","{'latitude': 30.24711909150202, 'longitude': -97.75042802564276}",['delivery'],$,Cafes/Juice bars/Desserts,30.24711909150202,-97.75042802564276,"'1603 S Congress Ave', 'Austin, TX 78704'",78704,1,0,0,-0.216633048725356,0.2704657198475276
yDH9wE7IPEA_hm-B5c_24w,Raku Sushi and Asian Bistro,False,3.5,247,Sushi Bars,"['2222 Rio Grande St', 'Ste 100', 'Austin, TX 78705']","{'latitude': 30.28669, 'longitude': -97.74515}","['delivery', 'pickup']",$$,Asian,30.28669,-97.74515,"'2222 Rio Grande St', 'Ste 100', 'Austin, TX 78705'",78705,1,1,0,-1.3268774234428045,-0.2720651991933078
xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen,False,4.0,480,Southern,"['1911 Aldrich St', 'Ste 100', 'Austin, TX 78723']","{'latitude': 30.2984, 'longitude': -97.704748}","['pickup', 'delivery']",$$,American,30.2984,-97.704748,"'1911 Aldrich St', 'Ste 100', 'Austin, TX 78723'",78723,1,1,0,-0.216633048725356,0.11099451031128203
xwHhz09uHHTuxJiuRbaS6Q,Boteco,False,4.5,439,Food Trucks,"['1403 E 7th St', 'Austin, TX 78702']","{'latitude': 30.26432723604452, 'longitude': -97.7279647}","['delivery', 'pickup']",$$,Food Trucks/Food Stands,30.26432723604452,-97.7279647,"'1403 E 7th St', 'Austin, TX 78702'",78702,1,1,0,0.8936113259920925,0.043589153703178236
xbXIOpoddfVfkMusuWXkkA,Chi'Lantro BBQ,False,4.0,58,Korean,"['1201 Barbara Jordan Blvd', 'Ste 1460', 'Austin, TX 78723']","{'latitude': 30.305274649915855, 'longitude': -97.7082585856125}","['delivery', 'pickup']",$$$,Asian,30.305274649915855,-97.7082585856125,"'1201 Barbara Jordan Blvd', 'Ste 1460', 'Austin, TX 78723'",78723,1,1,0,-0.216633048725356,-0.5827874528257863
xbKfPkR7gJk09PJ4nUNWaw,Plant B,False,2.5,11,Vegetarian,"['8023 Burnet Rd', 'Austin, TX 78757']","{'latitude': 30.359125, 'longitude': -97.729505}","['delivery', 'pickup']",$$,Specification (Vegan/Glutenfree),30.359125,-97.729505,"'8023 Burnet Rd', 'Austin, TX 78757'",78757,1,1,0,-3.5473661728777017,-0.6600570079619053
xaKMGcoUHJfGKfptfkxqYw,Wok N Express,False,3.5,161,Chinese,"['4413 Guadalupe St', 'Austin, TX 78751']","{'latitude': 30.310567855835, 'longitude': -97.7327651977539}","['pickup', 'delivery']",$$,Asian,30.310567855835,-97.7327651977539,"'4413 Guadalupe St', 'Austin, TX 78751'",78751,1,1,0,-1.3268774234428045,-0.4134520447615255
x_tD_UygC_nN23QJpni7ww,Hold Out Brewing,False,4.5,119,Brewpubs,"['1208 W 4th St', 'Austin, TX 78703']","{'latitude': 30.271392, 'longitude': -97.759}",['delivery'],$$,Bars/Pubs,30.271392,-97.759,"'1208 W 4th St', 'Austin, TX 78703'",78703,1,0,0,0.8936113259920925,-0.48250143445763183
xYP6A8yoQxtJHzEbOUFz6A,P.F. Chang's,False,3.0,366,Chinese,"['201 San Jacinto Blvd', 'Austin, TX 78701']","{'latitude': 30.2637817241498, 'longitude': -97.7414131164551}","['delivery', 'pickup']",$$,Asian,30.2637817241498,-97.7414131164551,"'201 San Jacinto Blvd', 'Austin, TX 78701'",78701,1,1,0,-2.437121798160253,-0.07642526172100655
xUtzkHhNH3XCISfzH5mTgQ,SOHA,False,4.5,190,Korean,"['911 W Anderson Ln', 'Ste 114', 'Austin, TX 78757']","{'latitude': 30.34749, 'longitude': -97.71473}","['delivery', 'pickup']",$$,Asian,30.34749,-97.71473,"'911 W Anderson Ln', 'Ste 114', 'Austin, TX 78757'",78757,1,1,0,0.8936113259920925,-0.36577508520945207
xPfHLhEDTvpBhJuJSlIZRQ,Gobble Gobble,False,4.5,62,Food Trucks,"['83 Rainey St', 'Austin, TX 78701']","{'latitude': 30.259389, 'longitude': -97.7382435}","['delivery', 'pickup']",$$,Food Trucks/Food Stands,30.259389,-97.7382435,"'83 Rainey St', 'Austin, TX 78701'",78701,1,1,0,0.8936113259920925,-0.5762113204737761
xPeK1O2ioJ6mYk_1WLBNWA,The Bon Aire,False,4.5,43,Burgers,"['9070 Research Blvd', 'Ste 101', 'Austin, TX 78758']","{'latitude': 30.37267, 'longitude': -97.7280278}",['delivery'],$$,American,30.37267,-97.7280278,"'9070 Research Blvd', 'Ste 101', 'Austin, TX 78758'",78758,1,0,0,0.8936113259920925,-0.6074479491458242
xFhkWmQZA2RRBiLv0Y_mRA,Paco's Tacos,False,4.0,643,Mexican,"['1304 E 51st St', 'Austin, TX 78723']","{'latitude': 30.3075, 'longitude': -97.70581}","['delivery', 'pickup']",$$,Mexican/South American,30.3075,-97.70581,"'1304 E 51st St', 'Austin, TX 78723'",78723,1,1,0,-0.216633048725356,0.37897190365569466
xFgIiLmJVCKqKX8Ra_ZNQQ,Chi'Lantro,False,4.0,383,Korean,"['11005 Burnet Rd', 'Austin, TX 78758']","{'latitude': 30.39442, 'longitude': -97.720184}","['delivery', 'pickup']",$$,Asian,30.39442,-97.720184,"'11005 Burnet Rd', 'Austin, TX 78758'",78758,1,1,0,-0.216633048725356,-0.04847669922496352
wy1qyf2Sj1MFNQ2KakaDoQ,R&B's Steak and Fries,False,4.5,68,Cheesesteaks,"['2730 E Cesar Chavez', 'Austin, TX 78702']","{'latitude': 30.25323, 'longitude': -97.71297}","['pickup', 'delivery']",$$,American,30.25323,-97.71297,"'2730 E Cesar Chavez', 'Austin, TX 78702'",78702,1,1,0,0.8936113259920925,-0.5663471219457609
wvU_-fiTIwW4GTEj_4I5Hg,Cafe Blue - Downtown,False,3.5,331,Seafood,"['340 E 2nd St', 'Austin, TX 78701']","{'latitude': 30.26365, 'longitude': -97.74084}","['pickup', 'delivery']",$$,American,30.26365,-97.74084,"'340 E 2nd St', 'Austin, TX 78701'",78701,1,1,0,-1.3268774234428045,-0.13396641980109517
wniQHieUw3zE21BmSoBugg,USTA KABABGY,False,4.5,156,Kebab,"['9310 North Lamar Blvd', 'Austin, TX 78753']","{'latitude': 30.3625187, 'longitude': -97.69843449999999}","['pickup', 'delivery']",$$,Middle-eastern/Indian/African,30.3625187,-97.69843449999999,"'9310 North Lamar Blvd', 'Austin, TX 78753'",78753,1,1,0,0.8936113259920925,-0.42167221020153817
wjzyQScG1gjO-VdcjeEarg,Abo Youssef Mediterraneann Halal,False,5.0,510,Mediterranean,"['2101 Manor Rd', 'Austin, TX 78722']","{'latitude': 30.283955, 'longitude': -97.719837}",['pickup'],$$,Middle-eastern/Indian/African,30.283955,-97.719837,"'2101 Manor Rd', 'Austin, TX 78722'",78722,0,1,0,2.003855700709541,0.16031550295135796
wVFCjnvQT0eQRCaqoJvV1Q,Fowler's Smokin Soul Food,False,5.0,79,Soul Food,"['5811 Manor Rd', 'Austin, TX 78723']","{'latitude': 30.305862, 'longitude': -97.679748}",['delivery'],$,American,30.305862,-97.679748,"'5811 Manor Rd', 'Austin, TX 78723'",78723,1,0,0,2.003855700709541,-0.548262757977733
wTtldqoVcCLUUmmzk0Zqmg,Llama Kid,False,4.0,126,Peruvian,"['4620 E Cesar Chavez', 'Ste 1', 'Austin, TX 78702']","{'latitude': 30.2521784, 'longitude': -97.7029244}","['delivery', 'pickup']",$$,Mexican/South American,30.2521784,-97.7029244,"'4620 E Cesar Chavez', 'Ste 1', 'Austin, TX 78702'",78702,1,1,0,-0.216633048725356,-0.4709932028416141
